identifier.Id,identifier.fips,identifier.apn,identifier.attomId,lot.lotNum,lot.lotSize1,lot.lotSize2,lot.zoningType,area.countrySecSubd,area.subdName,area.censusTractIdent,area.censusBlockGroup,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoid,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.N4,location.geoIdV4.PL,location.geoIdV4.SB,location.geoIdV4.ZI,summary.absenteeInd,summary.propClass,summary.propSubType,summary.propType,summary.propertyType,summary.yearBuilt,summary.propLandUse,summary.propIndicator,summary.legal1,utilities.coolingType,utilities.heatingType,utilities.wallType,sale.saleSearchDate,sale.saleTransDate,sale.transactionIdent,sale.saleAmountData.saleRecDate,sale.saleAmountData.saleDisclosureType,sale.saleAmountData.saleDocType,sale.saleAmountData.saleDocNum,sale.saleAmountData.saleTransType,building.size.bldgSize,building.size.grossSize,building.size.grossSizeAdjusted,building.size.livingSize,building.size.sizeInd,building.size.universalSize,building.rooms.bathsFull,building.rooms.bathsTotal,building.interior.bsmtSize,building.interior.bsmtType,building.interior.fplcCount,building.interior.fplcInd,building.interior.fplcType,building.interior.bsmtFinishedPercent,building.construction.condition,building.construction.constructionType,building.construction.frameType,building.parking.garageType,building.parking.prkgSize,building.parking.prkgType,building.summary.levels,building.summary.storyDesc,building.summary.view,building.summary.viewCode,assessment.assessed.assdImprValue,assessment.assessed.assdLandValue,assessment.assessed.assdTtlValue,assessment.market.mktImprValue,assessment.market.mktLandValue,assessment.market.mktTtlValue,assessment.tax.taxAmt,assessment.tax.taxPerSizeUnit,assessment.tax.taxYear,assessment.improvementPercent,assessment.owner.corporateIndicator,assessment.owner.owner1.fullName,assessment.owner.owner1.lastName,assessment.owner.owner1.firstNameAndMi,assessment.owner.absenteeOwnerStatus,assessment.owner.mailingAddressOneLine,vintage.lastModified,vintage.pubDate,sale.saleAmountData.saleAmt,building.rooms.bathsPartial,building.summary.unitsCount,assessment.mortgage.FirstConcurrent.trustDeedDocumentNumber,assessment.mortgage.FirstConcurrent.amount,assessment.mortgage.FirstConcurrent.lenderLastName,assessment.owner.owner3.fullName,assessment.owner.owner3.lastName,assessment.owner.owner3.firstNameAndMi,assessment.owner.owner2.fullName,assessment.owner.owner2.lastName,assessment.owner.owner2.firstNameAndMi,assessment.mortgage.SecondConcurrent.amount,assessment.mortgage.SecondConcurrent.trustDeedDocumentNumber,assessment.mortgage.SecondConcurrent.lenderLastName,area.subdTractNum,utilities.heatingFuel,summary.dateOfLastQuitClaim,identifier.multiApn,assessment.owner.owner4.fullName,assessment.owner.owner4.lastName,building.rooms.beds,building.rooms.roomsTotal,assessment.owner.owner4.firstNameAndMi,address_line1,address_locality,address_countrySubd,address_postal1,summary_yearbuilt,building_size_universalSize,summary_propType,bedrooms,bathrooms,rent_estimate,rent_range_low,rent_range_high
315893,59228,3291558700056,148a5cf9-bb2c-4a49-8139-e970fb8afb80,2,0.826906,9918,Residential,mouth,Diane Trace,1832,8,US,NE,2073 Michael Station Suite 924,Apt. 365,Smithland,consumer,"Unit 6568 Box 1722, DPO AE 09819",17505,90166,61425,Parcel,-59.647299,168.419331,0,115108f2-711e-4a49-acf6-3cdb6d46ae00,e1dc0360-a3b1-4083-af9f-ef50767e0f42,2d73fcfc-07d3-4082-ac01-ea41ffe32944,a798fd16-9ddb-46fb-a61d-3b98004e996a,bd0161e7-f8bb-4a21-985f-58f790c8cf23,4496ced8-b88f-4af9-936a-7ee90d3c0362,0a792541-9395-4e87-9a94-e1e5eee616da,208b6162-0da4-42b4-9e6f-f92d9fd86c38,TENANT OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,1953,SFR,10,Shake score conference.,YES,RADIANT,WOOD,2010-12-07,2012-07-01,941683690,1972-04-03,0,DEED,698204,Resale,858,2473,1894,2563,LIVING SQFT,1830,2,2,1761,FINISHED,1,Y,YES,59,AVERAGE,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",3,CONVENTIONAL HOUSE,VIEW - NONE,0,49866,21093,77334,60973,89930,14256,620.63,2.83,2024,76,N,Nicole Winters,Owen,Justin,O,"4851 Michael Summit Apt. 587, Katieshire, VA 85394",1980-02-25,1988-05-18,249793,1,3,605797,626078,Smith,Gary Cantu PhD,Fisher,Ryan,Kimberly Sandoval,Sharp,Shane,115732,411783,Smith,46,GAS,1977-08-27,NO,Michelle Medina,Wells,3,3,Christopher,89294 Hobbs Course Suite 457,Reyesville,TX,91721,1965,2572,SFR,3,3,1027,924,1129
396392,50270,4337661099931,d857d521-b6a0-412b-bd41-16c38998a083,10,0.183402,2283,Residential,ton,William Cove,3973,6,US,CA,650 Tyler Mews Apt. 945,Suite 807,Richardtown,skill,"7672 Moore Plaza Apt. 172, Ryanmouth, IA 23835",89790,58171,85340,Parcel,22.825821,-34.021714,0,c46b5845-9e7b-4ce6-ad71-5c53c73ee536,0dff04ac-7fb0-485f-9d13-d7c37d73a586,9992a5d2-6635-419f-9ee9-a89dedb41dd7,760a2edf-4de3-497d-8fe0-2839d4c02bc9,bb217bb3-57a9-427b-8cca-2d6063a01df2,c247a5e4-58ae-43f6-b1fd-235195bd2f46,da85e9e9-5702-4ddb-9390-5beefa7644a5,232b35e7-2808-4bef-84f8-e5f223be46e0,OWNER OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,2006,SFR,10,Control soldier and must.,YES,FORCED AIR,WOOD,2023-12-12,2009-10-27,863047926,1977-09-13,1,DEED,748997,Resale,2941,2550,2473,2584,LIVING SQFT,1522,3,2,1499,FINISHED,1,Y,YES,97,AVERAGE,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",2,CONVENTIONAL HOUSE,VIEW - NONE,0,54249,47001,63904,23451,51035,96280,3001.71,1.66,2024,78,Y,Joshua Rodgers,Edwards,Shawn,T,"1137 Denise Walks, Mclaughlinborough, AL 55308",2021-07-25,1998-11-21,539635,0,3,221184,389845,Cooper,Dr. David Hunt MD,Lopez,Ivan,Amanda Zhang,Mcdonald,Jeffrey,828115,668873,King,18,GAS,2004-02-13,NO,Kayla Thomas,Williams,4,10,Alan,439 Reynolds Rapids Suite 443,Charlesstad,MT,40628,1993,2830,SFR,3,2,2571,2313,2828
339548,31198,7151533282785,a3a31266-182a-470d-9edd-2b6916871a9d,2,0.417761,5216,Commercial,chester,Daniel Knoll,1632,7,US,OK,1996 William Flats,Apt. 216,Rothhaven,health,"587 Donald Haven Apt. 788, Guzmanburgh, UT 92957",09834,94680,35474,Parcel,70.980784,-141.141576,0,1b62646f-38f9-4917-b569-09f0729a0877,9ab66e71-307c-4f81-8106-0d634ca27e52,bfbb3969-91d2-48b0-ba4f-f3ae5d073ec5,31da653c-5d1c-4bf6-9dee-ddfd866d9455,391018e4-4f02-48a4-be5e-400294f4f2e3,fe90bd86-d1d3-46a2-a0a1-4540e64856a3,a6d856ce-3f5c-422d-91b5-12a587ab8e66,b6d215e5-2645-4386-bd6b-d46f61f55ef1,TENANT OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,1999,SFR,10,Research well community.,YES,NONE,WOOD,1993-08-22,1985-12-18,946539854,2006-01-06,0,DEED,210211,Resale,1829,1483,1312,1979,LIVING SQFT,1748,2,3,1117,FINISHED,1,Y,YES,65,AVERAGE,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",3,CONVENTIONAL HOUSE,VIEW - NONE,0,46015,90777,50945,72138,94488,67808,4795.04,4.7,2024,92,Y,Brenda Hall,Stephens,Joseph,T,"15229 Garner Shoal, North Susan, TX 97918",1989-10-12,1998-07-13,800337,1,8,254315,468579,Williams,Christine Anderson,Robinson,James,Terry Frye,Flores,Christina,177987,832854,Cook,68,GAS,1978-10-18,YES,Erik Barnett,Hart,5,10,Gregory,67022 Karen Coves Suite 230,South Juan,CT,45249,1974,2044,SFR,4,1,2839,2555,3122
104392,86049,3248269975656,4d36619a-fbf2-4924-afb6-9c140460455b,10,0.772306,3747,Residential,furt,Brown Rapid,7082,5,US,ID,766 Theresa Parkway,Apt. 578,Port Lindafort,plant,"50057 Orr Bypass Apt. 564, Medinachester, OK 77623",67943,50648,89824,Parcel,-37.837340,-90.986507,0,d8d06915-988f-48b6-a19c-179517d42018,d6e2f891-6ded-4073-9256-937207d619b0,f5edfc5c-3617-4d33-bb8e-e9285938b2c3,147aea42-b7b4-4709-9585-c60298b663ee,4bcebc06-0562-4335-b280-68cb9b158667,734f78bd-d0c7-4ce3-99ee-4c51f9c0e696,b16283f2-3142-4fd3-a53d-4087d8458f51,814eb22b-8ca6-47a0-b9ee-0380d1901c0e,TENANT OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,1976,SFR,10,Wonder court onto what plant.,NO,NONE,WOOD,1971-12-30,1975-03-25,666493344,1994-12-26,1,DEED,468479,Resale,1987,1757,1730,2376,LIVING SQFT,1338,3,2,1669,FINISHED,1,Y,YES,78,GOOD,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",2,CONVENTIONAL HOUSE,VIEW - NONE,0,93980,99920,34537,65274,12625,30847,3652.71,1.84,2024,80,N,Virginia Thomas,Jackson,Breanna,T,"980 Brown Inlet Suite 062, Adamsborough, OH 98025",2014-07-25,1997-11-06,988526,1,1,818285,940883,Green,Ryan Banks,Mckee,Richard,Samantha Perez,Reese,Rachel,484285,502806,Hayden,20,GAS,1972-10-03,NO,Hector Baker,Molina,4,9,Amber,54843 Danielle Drive Suite 070,Dennisstad,GA,12632,1951,2373,SFR,3,3,3521,3168,3873
274470,29636,9985136237209,8c9ebefb-9e93-482f-b2b6-0792d83e2ad5,4,0.674428,6838,Residential,stad,Richard Plains,8061,7,US,IA,50914 Rojas Causeway Suite 536,Suite 527,North Melissaton,son,"74623 Martinez Glen, South Carrieport, UT 70460",40329,46029,15575,Parcel,-29.687590,104.926035,0,a8f86df6-8d8c-4cb9-bb07-3434c378d6c8,9e3cbea3-df05-4db9-b936-63e323c7e258,7cff1e6c-bd7d-47e0-a6be-8fabf7069a5d,89de3cda-3190-4450-971b-70e218654e36,d68b89d8-7bf1-440f-b8fa-23b7414a0a0e,806b0607-7d8c-4d55-a429-b964114822a3,845e5d77-8ded-4c43-b75a-ab42370c2ea3,fc7e8208-40db-41f7-8fea-ab503498c7c9,OWNER OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,1993,SFR,10,Wife sound risk evidence.,NO,NONE,WOOD,2000-02-09,2021-11-18,735177370,1976-07-20,0,DEED,269058,Resale,1431,830,1145,1702,LIVING SQFT,2633,2,2,861,FINISHED,1,Y,YES,50,GOOD,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",1,CONVENTIONAL HOUSE,VIEW - NONE,0,49875,35107,69284,74341,75841,12533,4909.47,2.92,2024,93,Y,Erika Owens,Daniels,Sonya,T,"94192 Mann Route, South Kathrynberg, WY 97325",2002-06-13,1998-05-27,554184,0,3,232069,752551,Krause,Jodi Ali,Wise,Scott,Linda Hanson,Taylor,Danielle,979909,724879,Rodriguez,90,GAS,1989-06-05,YES,Stephanie Lewis,Delgado,2,9,Daniel,2598 Porter Camp,Everettborough,GA,85773,1980,1579,SFR,4,3,3587,3228,3945
249461,59196,1424211401063,2ec89778-13a9-4891-b943-d6db367f0403,7,0.54046,7980,Commercial,furt,Mason Walks,4392,6,US,MD,48748 Christopher Street Suite 694,Apt. 618,Alvarezland,plan,"16628 Spencer Mill, East Leslieshire, AL 62113",13608,42620,12005,Rooftop,-71.384322,10.902248,0,edf2983c-793c-497c-a32a-d01b716ce827,6c841d6f-805c-4d3b-a37b-7ff0c08f820b,7686588e-8443-4f1f-bdc1-5ff05fea0397,e9a12e0d-fb0b-4773-a8ac-9b83a186edc4,1a144f93-4bc1-4467-a10e-c18b17f9750b,29dfda83-88cb-49e4-b842-a4d0e2e314e2,d8e02e3e-a00f-4269-b689-1117e00f1d65,76d9d660-fd4c-483e-b7b2-c1d97512aa3f,TENANT OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,1975,SFR,10,Back assume soon amount.,YES,NONE,WOOD,2016-05-27,1988-02-04,155308333,2017-04-28,1,DEED,135528,Resale,1717,2902,2871,2413,LIVING SQFT,2365,2,3,1287,FINISHED,1,Y,YES,81,AVERAGE,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",2,CONVENTIONAL HOUSE,VIEW - NONE,0,78350,75303,88932,75115,59012,65106,2484.51,3.12,2024,94,N,Ronnie Hampton,Nguyen,Reginald,O,"84139 Odom Pike, Hansonborough, MO 36101",1992-11-07,1998-08-07,123957,3,6,326500,34986,Wallace,Francisco Hanson,Gallegos,Lisa,Robin Donaldson,Martin,Richard,22940,366904,Kelly,69,GAS,1983-10-07,NO,Tyler Contreras,Bennett,3,8,Dean,7816 Joseph Street,Scottmouth,WA,42090,1998,1108,SFR,1,1,3463,3116,3809
550297,82446,5623527288703,b3e18ae7-6a6f-454f-813b-05f73c60c024,8,0.719087,6422,Commercial,view,Hughes Mews,8341,10,US,NH,7557 Oconnell Park,Suite 708,East Wendyland,various,"41151 Perez Ridge, West Shelbyland, SC 84144",82005,82462,87296,Rooftop,10.918774,75.846177,0,aedb4816-f5ce-42b3-9554-08f5d558ba36,02b0d271-e7a8-4ee6-b79e-7effc6bb7c79,4a919427-e855-417e-9957-0f813f26555c,72e32375-89eb-488e-9bba-cdfc1d466cef,481cd3b2-521e-48e8-bde7-ec2088b2fc2f,643aa728-fac0-4536-9a14-4fc57c3ed732,05eda629-4e12-48a5-9a50-2f9d395dc2fd,e435551c-d8d6-415d-8efb-86289fe102ad,OWNER OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,2006,SFR,10,Beautiful decide for fly.,YES,NONE,WOOD,1999-12-08,1983-02-17,525097607,2021-10-01,0,DEED,525506,Resale,2034,1294,1040,930,LIVING SQFT,1862,2,3,1540,FINISHED,1,Y,YES,60,AVERAGE,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",1,CONVENTIONAL HOUSE,VIEW - NONE,0,35089,61257,92855,24430,70659,10677,2319.42,4.4,2024,85,Y,Todd Johnson,Martinez,Melissa,T,"20501 Landry Summit Apt. 370, Jessicaside, ID 35167",1978-10-24,2022-01-04,498077,0,7,223358,990985,Andrews,Joshua Rodriguez,Greene,Howard,Victoria Mcdonald,Foster,Ashley,801624,930684,Hicks,77,GAS,2022-12-19,YES,Beverly Gonzalez,Kirby,1,7,Randy,59068 Vargas Lane Apt. 746,West Melissa,AR,93364,2019,1162,SFR,1,2,2587,2328,2845
986135,46928,5489060183927,01b9ccc9-2299-4d51-b98c-a88724286a64,4,0.467667,5202,Commercial,mouth,Lopez Harbors,2606,9,US,MA,4305 Gloria Lights Suite 320,Apt. 899,Loritown,hair,"PSC 2757, Box 6211, APO AE 36071",18988,64870,14936,Parcel,67.174806,-121.395302,0,d521bc1c-ccd4-4feb-a3dd-7216dd95a2d2,7d6d1ffc-a1f4-4d39-87d5-dccb2c566c97,bb6d938d-8379-4a51-b252-f61e19a1bcaa,b80cee53-08c7-4c73-8c12-aeb0ddee030b,d28633a1-ea05-40e8-ac28-35bf03be9e58,04bad602-635c-4f98-9be8-8b804ae1ede0,4d46f9ca-546f-402e-8744-6203be18ac9b,951a9e89-293e-4d20-8faf-bf375bf0aef0,OWNER OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,1954,SFR,10,Your hair style.,NO,NONE,WOOD,1997-03-11,1992-10-12,244286474,2019-06-09,1,DEED,757902,Resale,2910,2983,1953,1426,LIVING SQFT,1427,2,2,539,FINISHED,1,Y,YES,97,AVERAGE,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",2,CONVENTIONAL HOUSE,VIEW - NONE,0,12547,35008,40034,74441,57087,61738,793.15,3.78,2024,97,N,Brenda Martin,Shah,Mark,T,"1902 Ramirez Harbors, Moorebury, NM 99240",1972-01-14,1994-06-25,811345,2,7,463215,562034,Calhoun,Sandra Ball,Anderson,Clinton,Jonathan Lawson,Douglas,Sara,656980,613896,Hickman,100,GAS,1979-05-18,YES,Miguel Gardner,Jordan,2,3,Heather,5534 Johnson Well,Adamschester,LA,71060,2000,2926,SFR,5,1,1030,927,1133
438919,54924,9906613253512,e75bd863-a29e-4581-9b25-41431001cb0f,2,0.480729,2524,Commercial,side,Victor Skyway,5290,5,US,NH,76610 William Field Apt. 854,Suite 313,Amandabury,learn,"979 Denise Lane, Leburgh, IN 09589",29963,45094,81789,Rooftop,-9.919752,-172.221359,0,e7a1b2cf-f49a-4b36-9c18-ac6d9c7c4eae,9c85d1ed-56d1-4660-97c3-359878d91721,40d1465f-243f-475a-8529-ee1924863e3a,542c8f54-d8d0-4ac8-b0b6-9b894c4fdbd8,f9a12336-73e9-4ee9-b1e6-3044557c13c7,936bc625-b546-4843-88fe-168562edbe1a,ef57fcda-07b1-45e4-a5fa-fa1a8650f98f,b9f8cd00-04af-410f-b7d8-fecdba6cb211,OWNER OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,2001,SFR,10,Lot thing trouble piece.,YES,FORCED AIR,WOOD,2018-04-23,2020-10-22,933233390,1988-06-30,0,DEED,857845,Resale,2634,1016,1156,2307,LIVING SQFT,1816,1,3,1360,FINISHED,1,Y,YES,89,AVERAGE,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",1,CONVENTIONAL HOUSE,VIEW - NONE,0,74379,48597,70185,82257,24778,90571,647.34,1.18,2024,83,N,Leah Bullock,Gordon,David,T,"979 Destiny Rue, East Jessica, AL 47515",2004-11-27,2013-03-21,426414,0,9,896865,431013,Allen,Paige Ford,Beck,Joanna,Scott Lee,Long,Andrew,532410,239195,Brown,59,GAS,2005-09-12,YES,Mr. Jeffrey Hughes MD,Serrano,1,8,Daniel,754 Wright Circle,Richardfurt,MO,76681,1959,1837,SFR,5,1,2504,2253,2754
331073,51716,6051747107712,f1cfc863-7a29-4a18-9dd8-851e6c91e156,8,0.854815,1634,Residential,town,Bates Garden,3580,6,US,MS,49088 Bell Glens,Apt. 041,Lake Jacob,future,"760 Patricia Junctions, South Brianfort, RI 73329",78392,27362,56542,Parcel,88.499622,90.281502,0,4a4963ff-4114-4030-b516-d2621641a77f,edf2e54f-a8c6-445b-bbdf-3271e15eb25d,6d8c8903-420c-47e7-83c8-d43644c1c6c3,d3d532b8-9e68-4078-8b62-0cf0b96933c3,0a7fe68a-2b47-4df2-8cd9-caeb2f3509c7,99c4468b-e611-4b0d-9eb8-4d022dc23516,ef005620-8515-4d8c-9410-6512fa6813ab,1958c714-b9c5-4450-be3e-f8751ffbbb20,TENANT OCCUPIED,Single Family,Residential,SFR,SINGLE FAMILY RESIDENCE,1955,SFR,10,At dinner reason book.,NO,FORCED AIR,WOOD,1998-06-08,1999-01-16,749328648,1987-11-07,0,DEED,410397,Resale,1649,1132,841,808,LIVING SQFT,2981,1,2,1435,FINISHED,1,Y,YES,53,GOOD,FRAME,WOOD,"Garage, Attached",480,"Garage, Attached",3,CONVENTIONAL HOUSE,VIEW - NONE,0,54698,55762,81238,47907,94839,44280,3967.12,4.08,2024,98,Y,Cynthia Phillips,Maddox,Annette,T,"667 Alexa Lock, Port Shirley, CO 17761",1990-03-05,2005-08-17,515007,0,10,910837,150335,Boone,Jamie Austin,Gibson,William,Eric Logan,Cardenas,Mark,665341,256791,Clark,16,GAS,2018-03-01,NO,Kenneth Holloway,Brown,2,8,Anna,9386 Ryan Causeway Apt. 523,New Kristy,TN,63247,1991,2938,SFR,3,2,3784,3405,4162
